song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
73,262333,0.00552,0.496,0.682,2.94e-05,8,0.0589,-4.095,1,0.0294,167.06,4,0.474
66,216933,0.0103,0.7413470146127225,0.853,0.0,3,0.108,-6.407,0,0.0498,105.256,4,0.37
76,231733,0.00817,0.4808290344071233,0.4629999999999999,0.447,0,0.255,-7.827999999999999,1,0.0792,123.881,4,0.324
74,216933,0.0264,0.285787310985762,0.97,0.00355,0,0.102,-4.938,1,0.107,122.444,4,0.198
56,223826,0.0009539999999999,0.4269855866934788,0.7659999999999999,0.0,10,0.113,-5.065,1,0.0313,172.011,4,0.574
80,235893,0.00895,0.2481980178272411,0.945,1.85e-06,4,0.396,-3.169,0,0.124,189.931,4,0.32
81,199893,0.000504,0.1629939841915161,0.887,0.0011099999999999,4,0.268,-3.659,0,0.0624,90.578,4,0.7240000000000001
76,213800,0.00148,0.4619884241028994,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537
80,222586,0.00108,0.1870126189698415,0.936,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,0.2339999999999999
81,203346,0.00172,0.3985856990765413,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374
78,168253,0.0424,0.629,0.897,0.0,2,0.263,-3.401,1,0.0483,161.944,4,0.93
63,185586,0.0046,0.4008232207630966,0.863,0.0,9,0.639,-4.1530000000000005,1,0.0381,110.018,4,0.243
75,209266,0.00434,0.1799875519036991,0.964,0.0036,9,0.15,-4.225,0,0.06,126.942,4,0.875
81,269000,0.0179,0.4001502692381515,0.938,0.0,9,0.1669999999999999,-3.442,1,0.0456,91.455,4,0.875
69,210240,0.0003529999999999,0.1677738971622237,0.929,0.0007469999999999,7,0.122,-3.899,0,0.121,127.204,4,0.3
77,237026,0.000423,0.2857785891525244,0.6759999999999999,0.000899,9,0.136,-8.821,1,0.0371,104.545,4,0.494
71,227240,0.0013599999999999,0.3639488900598927,0.778,6.79e-06,11,0.0841,-6.422999999999999,1,0.0379,110.022,4,0.623
62,256600,0.00701,0.516037183675908,0.944,2.9e-06,1,0.135,-4.979,0,0.0767,130.315,4,0.345
77,187613,0.0938,0.4639585658517943,0.795,0.0,9,0.114,-4.985,0,0.134,170.06,4,0.635
79,233933,0.00664,0.2627702792103181,0.865,1.12e-05,11,0.168,-5.707999999999999,0,0.0286,99.01,4,0.5429999999999999
69,231533,0.0014,0.309,0.912,0.000271,4,0.5820000000000001,-3.881,0,0.0646,183.035,3,0.302
79,230760,0.00552,0.2454772783258844,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173
13,255066,0.0137,0.0348301483536412,0.5379999999999999,0.000398,0,0.141,-5.818,1,0.0486,170.953,4,0.687
62,195666,0.0171,0.5102764754314442,0.981,1.07e-05,8,0.386,-2.603,0,0.06,134.007,4,0.861
77,304840,0.000202,0.2398698623500266,0.905,0.064,2,0.1169999999999999,-4.046,1,0.0775,128.019,4,0.411
79,232533,0.872,0.1759287811021383,0.291,0.0,2,0.114,-10.572,1,0.0293,103.973,4,0.298
28,303920,0.0102,0.1399654758433786,0.932,0.0,3,0.142,-4.488,0,0.0584,157.438,4,0.495
78,176346,2.64e-05,0.3762741902713803,0.988,7.859999999999999e-05,1,0.368,-2.042,1,0.0639,186.113,4,0.769
77,311106,0.000289,0.3915838566231477,0.905,0.00011,2,0.222,-4.103,1,0.0752,96.95,4,0.236
71,213106,0.0156,0.4694820433532964,0.725,0.0,4,0.0726,-6.4110000000000005,1,0.0402,99.988,4,0.59
11,262733,0.000194,0.5820000000000001,0.597,0.000273,5,0.517,-5.671,1,0.0512,167.738,4,0.674
77,293960,0.00797,0.1135973648765483,0.568,0.0,7,0.0997,-5.477,0,0.0276,107.849,4,0.516
